ward,precinct,office,district,party,candidate,votes
1,22,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,NON,WRITE-IN,10
1,22,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,,OVER VOTES,0
1,22,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,,UNDER VOTES,103
1,22,ANC - 1B11 SINGLE MEMBER DISTRICT 11-ANC 1B,,NON,Robb Hudson,39
1,22,ANC - 1B11 SINGLE MEMBER DISTRICT 11-ANC 1B,,NON,WRITE-IN,0
1,22,ANC - 1B11 SINGLE MEMBER DISTRICT 11-ANC 1B,,,OVER VOTES,0
1,22,ANC - 1B11 SINGLE MEMBER DISTRICT 11-ANC 1B,,,UNDER VOTES,14
1,22,ANC - 1B12 SINGLE MEMBER DISTRICT 12-ANC 1B,,NON,John Carlos Green,889
1,22,ANC - 1B12 SINGLE MEMBER DISTRICT 12-ANC 1B,,NON,WRITE-IN,24
1,22,ANC - 1B12 SINGLE MEMBER DISTRICT 12-ANC 1B,,,OVER VOTES,0
1,22,ANC - 1B12 SINGLE MEMBER DISTRICT 12-ANC 1B,,,UNDER VOTES,255
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,42
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,45
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,66
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2523
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,45
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
1,23,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,3
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,115
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2322
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,167
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,17
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
1,23,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,103
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,144
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,175
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,289
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,219
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1056
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2083
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,19
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
1,23,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1443
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,876
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,351
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,777
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,42
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
1,23,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,668
1,23,ANC - 1B03 SINGLE MEMBER DISTRICT 03-ANC 1B,,NON,Sedrick Muhammad,211
1,23,ANC - 1B03 SINGLE MEMBER DISTRICT 03-ANC 1B,,NON,WRITE-IN,20
1,23,ANC - 1B03 SINGLE MEMBER DISTRICT 03-ANC 1B,,,OVER VOTES,0
1,23,ANC - 1B03 SINGLE MEMBER DISTRICT 03-ANC 1B,,,UNDER VOTES,68
1,23,ANC - 1B04 SINGLE MEMBER DISTRICT 04-ANC 1B,,NON,Jon Squicciarini,188
1,23,ANC - 1B04 SINGLE MEMBER DISTRICT 04-ANC 1B,,NON,WRITE-IN,10
1,23,ANC - 1B04 SINGLE MEMBER DISTRICT 04-ANC 1B,,,OVER VOTES,0
1,23,ANC - 1B04 SINGLE MEMBER DISTRICT 04-ANC 1B,,,UNDER VOTES,55
1,23,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,NON,Nathan Ackerman,556
1,23,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,NON,WRITE-IN,34
1,23,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,,OVER VOTES,0
1,23,ANC - 1B05 SINGLE MEMBER DISTRICT 05-ANC 1B,,,UNDER VOTES,171
1,23,ANC - 1B06 SINGLE MEMBER DISTRICT 06-ANC 1B,,NON,NO CANDIDATE FILED,0
1,23,ANC - 1B06 SINGLE MEMBER DISTRICT 06-ANC 1B,,NON,WRITE-IN,251
1,23,ANC - 1B06 SINGLE MEMBER DISTRICT 06-ANC 1B,,,OVER VOTES,0
1,23,ANC - 1B06 SINGLE MEMBER DISTRICT 06-ANC 1B,,,UNDER VOTES,831
1,23,ANC - 1B08 SINGLE MEMBER DISTRICT 08-ANC 1B,,NON,Joshua R. Mater,232
1,23,ANC - 1B08 SINGLE MEMBER DISTRICT 08-ANC 1B,,NON,WRITE-IN,19
1,23,ANC - 1B08 SINGLE MEMBER DISTRICT 08-ANC 1B,,,OVER VOTES,0
1,23,ANC - 1B08 SINGLE MEMBER DISTRICT 08-ANC 1B,,,UNDER VOTES,68
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,56
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,33
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,89
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2494
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,37
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
1,24,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,152
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2232
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,210
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,18
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
1,24,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,103
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,156
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,135
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,284
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,243
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1267
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2000
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,26
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
1,24,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1269
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1039
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,296
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,629
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,48
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
1,24,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,677
1,24,ANC - 1C06 SINGLE MEMBER DISTRICT 06-ANC 1C,,NON,Brendan Reardon,381
1,24,ANC - 1C06 SINGLE MEMBER DISTRICT 06-ANC 1C,,NON,WRITE-IN,15
1,24,ANC - 1C06 SINGLE MEMBER DISTRICT 06-ANC 1C,,,OVER VOTES,0
1,24,ANC - 1C06 SINGLE MEMBER DISTRICT 06-ANC 1C,,,UNDER VOTES,113
1,24,ANC - 1C07 SINGLE MEMBER DISTRICT 07-ANC 1C,,NON,Wilson Reynolds,470
1,24,ANC - 1C07 SINGLE MEMBER DISTRICT 07-ANC 1C,,NON,"Chris ""Ward One"" Otten",276
1,24,ANC - 1C07 SINGLE MEMBER DISTRICT 07-ANC 1C,,NON,WRITE-IN,23
1,24,ANC - 1C07 SINGLE MEMBER DISTRICT 07-ANC 1C,,,OVER VOTES,0
1,24,ANC - 1C07 SINGLE MEMBER DISTRICT 07-ANC 1C,,,UNDER VOTES,159
1,24,ANC - 1C08 SINGLE MEMBER DISTRICT 08-ANC 1C,,NON,Amanda Fox Perry,501
1,24,ANC - 1C08 SINGLE MEMBER DISTRICT 08-ANC 1C,,NON,JonMarc P. Buffa,492
1,24,ANC - 1C08 SINGLE MEMBER DISTRICT 08-ANC 1C,,NON,WRITE-IN,27
1,24,ANC - 1C08 SINGLE MEMBER DISTRICT 08-ANC 1C,,,OVER VOTES,1
1,24,ANC - 1C08 SINGLE MEMBER DISTRICT 08-ANC 1C,,,UNDER VOTES,232
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,85
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,58
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,155
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,3797
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,85
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
1,25,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,9
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,228
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,3424
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,331
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,39
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,2
1,25,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,165
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,207
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,182
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,450
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,421
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1957
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2957
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,37
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,4
1,25,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,2035
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1862
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,290
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,834
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,48
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,3
1,25,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,1088
1,25,ANC - 1C01 SINGLE MEMBER DISTRICT 01-ANC 1C,,NON,NO CANDIDATE FILED,0
1,25,ANC - 1C01 SINGLE MEMBER DISTRICT 01-ANC 1C,,NON,WRITE-IN,331
1,25,ANC - 1C01 SINGLE MEMBER DISTRICT 01-ANC 1C,,,OVER VOTES,0
1,25,ANC - 1C01 SINGLE MEMBER DISTRICT 01-ANC 1C,,,UNDER VOTES,1008
1,25,ANC - 1C02 SINGLE MEMBER DISTRICT 02-ANC 1C,,NON,Hector Huezo,1019
1,25,ANC - 1C02 SINGLE MEMBER DISTRICT 02-ANC 1C,,NON,WRITE-IN,47
1,25,ANC - 1C02 SINGLE MEMBER DISTRICT 02-ANC 1C,,,OVER VOTES,1
1,25,ANC - 1C02 SINGLE MEMBER DISTRICT 02-ANC 1C,,,UNDER VOTES,315
1,25,ANC - 1C03 SINGLE MEMBER DISTRICT 03-ANC 1C,,NON,Ted Guthrie,903
1,25,ANC - 1C03 SINGLE MEMBER DISTRICT 03-ANC 1C,,NON,WRITE-IN,62
1,25,ANC - 1C03 SINGLE MEMBER DISTRICT 03-ANC 1C,,,OVER VOTES,1
1,25,ANC - 1C03 SINGLE MEMBER DISTRICT 03-ANC 1C,,,UNDER VOTES,272
1,25,ANC - 1C04 SINGLE MEMBER DISTRICT 04-ANC 1C,,NON,A. Tianna Scozzaro,136
1,25,ANC - 1C04 SINGLE MEMBER DISTRICT 04-ANC 1C,,NON,WRITE-IN,4
1,25,ANC - 1C04 SINGLE MEMBER DISTRICT 04-ANC 1C,,,OVER VOTES,0
1,25,ANC - 1C04 SINGLE MEMBER DISTRICT 04-ANC 1C,,,UNDER VOTES,26
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,71
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,24
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,164
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2870
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,73
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
3,26,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,8
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,146
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2621
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,249
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,19
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,2
3,26,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,174
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,174
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,150
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,288
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,429
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1463
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2219
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,27
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,26,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1592
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1246
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,233
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,718
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,47
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,5
3,26,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,922
3,26,ANC - 3C02 SINGLE MEMBER DISTRICT 02-ANC 3C,,NON,Gwendolyn Bole,1051
3,26,ANC - 3C02 SINGLE MEMBER DISTRICT 02-ANC 3C,,NON,WRITE-IN,32
3,26,ANC - 3C02 SINGLE MEMBER DISTRICT 02-ANC 3C,,,OVER VOTES,1
3,26,ANC - 3C02 SINGLE MEMBER DISTRICT 02-ANC 3C,,,UNDER VOTES,310
3,26,ANC - 3C03 SINGLE MEMBER DISTRICT 03-ANC 3C,,NON,Jessica Wasserman,1023
3,26,ANC - 3C03 SINGLE MEMBER DISTRICT 03-ANC 3C,,NON,WRITE-IN,25
3,26,ANC - 3C03 SINGLE MEMBER DISTRICT 03-ANC 3C,,,OVER VOTES,0
3,26,ANC - 3C03 SINGLE MEMBER DISTRICT 03-ANC 3C,,,UNDER VOTES,260
3,26,ANC - 3C08 SINGLE MEMBER DISTRICT 08-ANC 3C,,NON,Chaz Rotenberg,121
3,26,ANC - 3C08 SINGLE MEMBER DISTRICT 08-ANC 3C,,NON,Malia N. Brink,229
3,26,ANC - 3C08 SINGLE MEMBER DISTRICT 08-ANC 3C,,NON,WRITE-IN,2
3,26,ANC - 3C08 SINGLE MEMBER DISTRICT 08-ANC 3C,,,OVER VOTES,0
3,26,ANC - 3C08 SINGLE MEMBER DISTRICT 08-ANC 3C,,,UNDER VOTES,117
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,52
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,28
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,125
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2282
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,76
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,27,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,162
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2064
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,199
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,35
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
3,27,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,108
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,111
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,125
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,254
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,343
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1166
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1788
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,19
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,27,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1276
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1070
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,149
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,523
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,50
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
3,27,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,748
3,27,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,Emma Hersh,501
3,27,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,Margaret A. Siegel,396
3,27,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,WRITE-IN,14
3,27,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,,OVER VOTES,1
3,27,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,,UNDER VOTES,205
3,27,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Bob Ward,265
3,27,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Nancy J. MacWood,548
3,27,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,WRITE-IN,6
3,27,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,OVER VOTES,0
3,27,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,UNDER VOTES,122
3,27,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,David Dickinson,227
3,27,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,WRITE-IN,9
3,27,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,OVER VOTES,0
3,27,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,UNDER VOTES,103
3,27,ANC - 3F07 SINGLE MEMBER DISTRICT 07-ANC 3F,,NON,Patrick Jakopchek,101
3,27,ANC - 3F07 SINGLE MEMBER DISTRICT 07-ANC 3F,,NON,WRITE-IN,4
3,27,ANC - 3F07 SINGLE MEMBER DISTRICT 07-ANC 3F,,,OVER VOTES,0
3,27,ANC - 3F07 SINGLE MEMBER DISTRICT 07-ANC 3F,,,UNDER VOTES,39
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,51
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,52
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,264
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2356
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,91
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,28,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,16
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,182
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2183
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,238
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,33
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
3,28,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,193
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,146
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,157
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,285
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,469
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1103
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1858
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,24
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,28,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1568
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1027
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,212
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,696
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,37
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,5
3,28,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,828
3,28,ANC - 3B01 SINGLE MEMBER DISTRICT 01-ANC 3B,,NON,Ann Lane Mladinov,241
3,28,ANC - 3B01 SINGLE MEMBER DISTRICT 01-ANC 3B,,NON,WRITE-IN,6
