county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Kauai,16-06,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",10,0,0,10
County of Kauai,16-06,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",1,0,0,1
County of Kauai,16-06,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,0,0,1
County of Kauai,16-06,U.S. Senator,,C,"ALLISON, Joy J.",7,0,0,7
County of Kauai,16-06,U.S. Senator,,D,"SCHATZ, Brian",14,0,0,14
County of Kauai,16-06,U.S. Senator,,L,"KOKOSKI, Michael A.",5,0,0,5
County of Kauai,16-06,U.S. Senator,,R,"CARROLL, John",8,0,0,8
County of Kauai,16-06,U.S. Representative,2,D,"GABBARD, Tulsi",19,0,0,19
County of Kauai,16-06,U.S. Representative,2,R,"KAAIHUE, Angela Aulani",12,0,0,12
County of Kauai,16-06,State Representative,16,D,"MORIKAWA, Dee",18,0,0,18
County of Kauai,16-06,State Representative,16,R,"FRANKS, Victoria (Vickie)",18,0,0,18
City & County of Honolulu,17-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",38,4,21,63
City & County of Honolulu,17-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",42,4,50,96
City & County of Honolulu,17-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",404,55,368,827
City & County of Honolulu,17-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1090,98,659,1847
City & County of Honolulu,17-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",11,0,11,22
City & County of Honolulu,17-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,5,5
City & County of Honolulu,17-01,U.S. Senator,,C,"ALLISON, Joy J.",7,2,12,21
City & County of Honolulu,17-01,U.S. Senator,,D,"SCHATZ, Brian",1254,107,803,2164
City & County of Honolulu,17-01,U.S. Senator,,L,"KOKOSKI, Michael A.",12,0,10,22
City & County of Honolulu,17-01,U.S. Senator,,R,"CARROLL, John",294,46,259,599
City & County of Honolulu,17-01,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",1193,100,732,2025
City & County of Honolulu,17-01,U.S. Representative,1,L,"YIM, Alan J.K.",39,1,37,77
City & County of Honolulu,17-01,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",14,12,25,51
City & County of Honolulu,17-01,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",294,43,279,616
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,D,"CROSS, Peter",11,4,18,33
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",1118,91,639,1848
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,D,"KIM, Howard",17,1,19,37
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",36,3,28,67
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",9,4,15,28
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",7,2,7,16
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",285,43,263,591
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",31,2,41,74
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",8,2,3,13
City & County of Honolulu,17-01,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",1,3,3,7
City & County of Honolulu,17-01,State Senator,25,D,"THIELEN, Laura H.",1033,93,632,1758
City & County of Honolulu,17-01,State Senator,25,R,"NAGAMINE, Robert K.",434,56,384,874
City & County of Honolulu,17-01,State Representative,17,D,"ROSS, Karlen",419,50,288,757
City & County of Honolulu,17-01,State Representative,17,R,"WARD, Gene",1088,105,775,1968
City & County of Honolulu,17-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",13,1,17,31
City & County of Honolulu,17-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",34,6,50,90
City & County of Honolulu,17-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",283,57,411,751
City & County of Honolulu,17-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",531,112,596,1239
City & County of Honolulu,17-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",1,0,4,5
City & County of Honolulu,17-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,1,1
City & County of Honolulu,17-02,U.S. Senator,,C,"ALLISON, Joy J.",4,2,21,27
City & County of Honolulu,17-02,U.S. Senator,,D,"SCHATZ, Brian",600,117,676,1393
City & County of Honolulu,17-02,U.S. Senator,,L,"KOKOSKI, Michael A.",6,1,21,28
City & County of Honolulu,17-02,U.S. Senator,,R,"CARROLL, John",238,53,337,628
City & County of Honolulu,17-02,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",553,118,600,1271
City & County of Honolulu,17-02,U.S. Representative,1,L,"YIM, Alan J.K.",13,1,43,57
City & County of Honolulu,17-02,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",6,3,20,29
City & County of Honolulu,17-02,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",260,50,371,681
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,D,"CROSS, Peter",13,3,29,45
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",481,106,521,1108
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,D,"KIM, Howard",14,3,21,38
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",12,2,32,46
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",5,3,10,18
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",3,0,8,11
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",261,46,356,663
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",15,6,22,43
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",3,1,7,11
City & County of Honolulu,17-02,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",0,0,4,4
City & County of Honolulu,17-02,State Senator,25,D,"THIELEN, Laura H.",486,103,535,1124
City & County of Honolulu,17-02,State Senator,25,R,"NAGAMINE, Robert K.",288,61,426,775
City & County of Honolulu,17-02,State Representative,17,D,"ROSS, Karlen",218,56,269,543
City & County of Honolulu,17-02,State Representative,17,R,"WARD, Gene",574,116,738,1428
City & County of Honolulu,17-03,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",30,3,38,71
City & County of Honolulu,17-03,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",67,11,65,143
City & County of Honolulu,17-03,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",692,95,729,1516
City & County of Honolulu,17-03,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1403,179,1122,2704
City & County of Honolulu,17-03,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",17,1,5,23
City & County of Honolulu,17-03,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",0,0,6,6
City & County of Honolulu,17-03,U.S. Senator,,C,"ALLISON, Joy J.",12,2,29,43
City & County of Honolulu,17-03,U.S. Senator,,D,"SCHATZ, Brian",1568,202,1313,3083
City & County of Honolulu,17-03,U.S. Senator,,L,"KOKOSKI, Michael A.",18,4,19,41
City & County of Honolulu,17-03,U.S. Senator,,R,"CARROLL, John",570,78,539,1187
City & County of Honolulu,17-03,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",1467,190,1204,2861
City & County of Honolulu,17-03,U.S. Representative,1,L,"YIM, Alan J.K.",64,7,50,121
City & County of Honolulu,17-03,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",17,4,39,60
City & County of Honolulu,17-03,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",623,83,575,1281
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,D,"CROSS, Peter",19,3,26,48
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",1367,172,1076,2615
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,D,"KIM, Howard",28,4,21,53
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",55,5,35,95
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",10,1,20,31
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",6,0,13,19
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",587,87,550,1224
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",31,6,55,92
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",8,5,12,25
City & County of Honolulu,17-03,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",2,0,5,7
City & County of Honolulu,17-03,State Senator,9,D,"CHANG, Stanley",1168,149,934,2251
City & County of Honolulu,17-03,State Senator,9,R,"SLOM, Sam M.",1039,142,970,2151
City & County of Honolulu,17-03,State Representative,17,D,"ROSS, Karlen",512,84,420,1016
City & County of Honolulu,17-03,State Representative,17,R,"WARD, Gene",1563,197,1383,3143
City & County of Honolulu,17-04,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",20,6,24,50
City & County of Honolulu,17-04,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",42,8,47,97
City & County of Honolulu,17-04,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",300,54,389,743
City & County of Honolulu,17-04,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",698,139,640,1477
City & County of Honolulu,17-04,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",11,0,8,19
City & County of Honolulu,17-04,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",2,0,6,8
City & County of Honolulu,17-04,U.S. Senator,,C,"ALLISON, Joy J.",12,3,12,27
City & County of Honolulu,17-04,U.S. Senator,,D,"SCHATZ, Brian",767,143,724,1634
City & County of Honolulu,17-04,U.S. Senator,,L,"KOKOSKI, Michael A.",13,1,13,27
City & County of Honolulu,17-04,U.S. Senator,,R,"CARROLL, John",274,56,325,655
City & County of Honolulu,17-04,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",710,138,638,1486
City & County of Honolulu,17-04,U.S. Representative,1,L,"YIM, Alan J.K.",19,8,47,74
City & County of Honolulu,17-04,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",19,1,30,50
City & County of Honolulu,17-04,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",296,51,342,689
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,D,"CROSS, Peter",16,2,31,49
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",650,119,539,1308
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,D,"KIM, Howard",12,5,34,51
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",24,7,38,69
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",14,2,13,29
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",3,0,8,11
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",284,51,331,666
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",17,8,17,42
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",8,0,5,13
City & County of Honolulu,17-04,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",2,0,2,4
City & County of Honolulu,17-04,State Senator,9,D,"CHANG, Stanley",554,101,541,1196
City & County of Honolulu,17-04,State Senator,9,R,"SLOM, Sam M.",521,98,531,1150
City & County of Honolulu,17-04,State Representative,17,D,"ROSS, Karlen",258,51,233,542
City & County of Honolulu,17-04,State Representative,17,R,"WARD, Gene",781,139,801,1721
City & County of Honolulu,18-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",25,4,43,72
City & County of Honolulu,18-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",71,3,45,119
City & County of Honolulu,18-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",577,72,516,1165
City & County of Honolulu,18-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1301,180,915,2396
City & County of Honolulu,18-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",4,0,12,16
City & County of Honolulu,18-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",3,1,5,9
City & County of Honolulu,18-01,U.S. Senator,,C,"ALLISON, Joy J.",13,2,17,32
City & County of Honolulu,18-01,U.S. Senator,,D,"SCHATZ, Brian",1423,193,1045,2661
City & County of Honolulu,18-01,U.S. Senator,,L,"KOKOSKI, Michael A.",13,4,15,32
City & County of Honolulu,18-01,U.S. Senator,,R,"CARROLL, John",494,54,388,936
City & County of Honolulu,18-01,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",1345,178,961,2484
City & County of Honolulu,18-01,U.S. Representative,1,L,"YIM, Alan J.K.",44,17,51,112
City & County of Honolulu,18-01,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",24,8,41,73
City & County of Honolulu,18-01,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",498,50,408,956
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,D,"CROSS, Peter",22,4,21,47
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",1247,155,836,2238
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,D,"KIM, Howard",30,3,25,58
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",40,15,38,93
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",11,2,23,36
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",5,1,8,14
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",473,54,381,908
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",27,6,65,98
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",15,2,14,31
City & County of Honolulu,18-01,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",0,0,0,0
City & County of Honolulu,18-01,State Senator,9,D,"CHANG, Stanley",1027,133,779,1939
City & County of Honolulu,18-01,State Senator,9,R,"SLOM, Sam M.",935,113,696,1744
City & County of Honolulu,18-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",12,2,10,24
City & County of Honolulu,18-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",15,1,24,40
City & County of Honolulu,18-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",176,21,199,396
City & County of Honolulu,18-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",429,50,401,880
City & County of Honolulu,18-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",3,1,5,9
City & County of Honolulu,18-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,0,0,1
City & County of Honolulu,18-02,U.S. Senator,,C,"ALLISON, Joy J.",5,1,5,11
City & County of Honolulu,18-02,U.S. Senator,,D,"SCHATZ, Brian",474,60,444,978
City & County of Honolulu,18-02,U.S. Senator,,L,"KOKOSKI, Michael A.",9,0,9,18
City & County of Honolulu,18-02,U.S. Senator,,R,"CARROLL, John",134,10,165,309
City & County of Honolulu,18-02,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",445,45,402,892
City & County of Honolulu,18-02,U.S. Representative,1,L,"YIM, Alan J.K.",34,4,34,72
City & County of Honolulu,18-02,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",5,2,17,24
City & County of Honolulu,18-02,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",130,19,164,313
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,D,"CROSS, Peter",4,0,9,13
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",411,40,362,813
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,D,"KIM, Howard",11,0,17,28
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",19,2,23,44
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",4,0,11,15
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",5,0,5,10
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",127,18,159,304
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",11,4,14,29
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",3,2,4,9
City & County of Honolulu,18-02,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",0,0,5,5
City & County of Honolulu,18-02,State Senator,9,D,"CHANG, Stanley",348,42,319,709
City & County of Honolulu,18-02,State Senator,9,R,"SLOM, Sam M.",274,32,317,623
City & County of Honolulu,18-03,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",20,5,38,63
City & County of Honolulu,18-03,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",48,9,76,133
City & County of Honolulu,18-03,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",458,66,473,997
City & County of Honolulu,18-03,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",837,126,869,1832
City & County of Honolulu,18-03,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",9,1,9,19
City & County of Honolulu,18-03,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,0,5,6
City & County of Honolulu,18-03,U.S. Senator,,C,"ALLISON, Joy J.",8,0,13,21
City & County of Honolulu,18-03,U.S. Senator,,D,"SCHATZ, Brian",968,138,1031,2137
City & County of Honolulu,18-03,U.S. Senator,,L,"KOKOSKI, Michael A.",18,3,13,34
City & County of Honolulu,18-03,U.S. Senator,,R,"CARROLL, John",358,60,372,790
City & County of Honolulu,18-03,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",887,129,936,1952
City & County of Honolulu,18-03,U.S. Representative,1,L,"YIM, Alan J.K.",50,6,53,109
City & County of Honolulu,18-03,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",15,1,35,51
City & County of Honolulu,18-03,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",362,63,395,820
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,D,"CROSS, Peter",13,3,18,34
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",816,114,811,1741
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,D,"KIM, Howard",13,2,28,43
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",41,3,49,93
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",12,1,13,26
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",5,1,9,15
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",351,63,382,796
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",25,5,39,69
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",3,3,8,14
City & County of Honolulu,18-03,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",1,0,2,3
City & County of Honolulu,18-03,State Senator,9,D,"CHANG, Stanley",670,112,730,1512
City & County of Honolulu,18-03,State Senator,9,R,"SLOM, Sam M.",693,89,718,1500
City & County of Honolulu,18-04,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",22,5,31,58
City & County of Honolulu,18-04,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",80,13,60,153
City & County of Honolulu,18-04,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",610,107,547,1264
City & County of Honolulu,18-04,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1446,236,936,2618
City & County of Honolulu,18-04,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",9,0,14,23
City & County of Honolulu,18-04,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",4,1,4,9
City & County of Honolulu,18-04,U.S. Senator,,C,"ALLISON, Joy J.",14,7,18,39
City & County of Honolulu,18-04,U.S. Senator,,D,"SCHATZ, Brian",1599,246,1093,2938
City & County of Honolulu,18-04,U.S. Senator,,L,"KOKOSKI, Michael A.",17,9,18,44
City & County of Honolulu,18-04,U.S. Senator,,R,"CARROLL, John",485,93,406,984
City & County of Honolulu,18-04,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",1472,222,1040,2734
City & County of Honolulu,18-04,U.S. Representative,1,L,"YIM, Alan J.K.",68,18,54,140
City & County of Honolulu,18-04,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",19,5,25,49
City & County of Honolulu,18-04,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",507,99,407,1013
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,D,"CROSS, Peter",15,4,21,40
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",1384,191,912,2487
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,D,"KIM, Howard",36,4,24,64
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",58,18,46,122
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",13,3,15,31
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",5,0,8,13
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",471,99,386,956
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",16,14,41,71
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",17,1,9,27
City & County of Honolulu,18-04,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",3,0,5,8
City & County of Honolulu,18-04,State Senator,9,D,"CHANG, Stanley",1171,184,842,2197
City & County of Honolulu,18-04,State Senator,9,R,"SLOM, Sam M.",991,171,718,1880
City & County of Honolulu,19-01,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",31,5,21,57
City & County of Honolulu,19-01,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",62,12,52,126
City & County of Honolulu,19-01,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",586,79,464,1129
City & County of Honolulu,19-01,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",1144,200,812,2156
City & County of Honolulu,19-01,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",11,0,3,14
City & County of Honolulu,19-01,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",3,1,8,12
City & County of Honolulu,19-01,U.S. Senator,,C,"ALLISON, Joy J.",10,7,20,37
City & County of Honolulu,19-01,U.S. Senator,,D,"SCHATZ, Brian",1297,208,892,2397
City & County of Honolulu,19-01,U.S. Senator,,L,"KOKOSKI, Michael A.",11,6,31,48
City & County of Honolulu,19-01,U.S. Senator,,R,"CARROLL, John",481,71,359,911
City & County of Honolulu,19-01,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",1153,193,786,2132
City & County of Honolulu,19-01,U.S. Representative,1,L,"YIM, Alan J.K.",56,6,57,119
City & County of Honolulu,19-01,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",25,4,32,61
City & County of Honolulu,19-01,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",520,80,374,974
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,D,"CROSS, Peter",33,8,27,68
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",1058,159,694,1911
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,D,"KIM, Howard",19,3,21,43
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,L,"YIM, Alan J.K.",53,4,44,101
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,N,"GRIFFIN, Calvin C. (G)",13,1,17,31
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,N,"PERRY, Yvonne",2,1,9,12
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,R,"OSTROV, Shirlene DelaCruz",487,85,365,937
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,D,"KAAIHUE, Angela Aulani",26,8,32,66
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,D,"OCASIO, Javier",8,6,13,27
City & County of Honolulu,19-01,U.S. Representative,1 Unexpired,N,"PLOTZENEDER, Peter H.",6,0,1,7
City & County of Honolulu,19-01,State Senator,9,D,"CHANG, Stanley",872,153,648,1673
City & County of Honolulu,19-01,State Senator,9,R,"SLOM, Sam M.",925,132,648,1705
City & County of Honolulu,19-01,State Representative,19,D,"KOBAYASHI, Bertrand (Bert)",974,175,651,1800
City & County of Honolulu,19-01,State Representative,19,L,"HIGA, Anthony J.L.",146,22,126,294
City & County of Honolulu,19-01,State Representative,19,R,"BISCHOFF, Stephen N.",481,76,357,914
City & County of Honolulu,19-02,President and Vice President,,G,"STEIN, Jill / BARAKA, Ajamu",12,1,17,30
City & County of Honolulu,19-02,President and Vice President,,L,"JOHNSON, Gary / WELD, Bill",9,2,29,40
City & County of Honolulu,19-02,President and Vice President,,R,"TRUMP, Donald J. / PENCE, Michael R.",77,15,101,193
City & County of Honolulu,19-02,President and Vice President,,D,"CLINTON, Hillary / KAINE, Tim",239,58,248,545
City & County of Honolulu,19-02,President and Vice President,,C,"CASTLE, Darrell L. / BRADLEY, Scott N.",3,0,2,5
City & County of Honolulu,19-02,U.S. Senator,,A,"GIUFFRE, John M. (Raghu)",1,0,2,3
City & County of Honolulu,19-02,U.S. Senator,,C,"ALLISON, Joy J.",4,2,8,14
City & County of Honolulu,19-02,U.S. Senator,,D,"SCHATZ, Brian",259,58,279,596
City & County of Honolulu,19-02,U.S. Senator,,L,"KOKOSKI, Michael A.",4,1,16,21
City & County of Honolulu,19-02,U.S. Senator,,R,"CARROLL, John",66,12,80,158
City & County of Honolulu,19-02,U.S. Representative,1,D,"HANABUSA, Colleen Wakako",225,54,249,528
City & County of Honolulu,19-02,U.S. Representative,1,L,"YIM, Alan J.K.",7,2,28,37
City & County of Honolulu,19-02,U.S. Representative,1,N,"GRIFFIN, Calvin (G)",6,1,11,18
City & County of Honolulu,19-02,U.S. Representative,1,R,"OSTROV, Shirlene D. (Shirl)",74,16,91,181
City & County of Honolulu,19-02,U.S. Representative,1 Unexpired,D,"CROSS, Peter",11,4,11,26
City & County of Honolulu,19-02,U.S. Representative,1 Unexpired,D,"HANABUSA, Colleen Wakako",188,40,212,440
