county,office,district,town,precinct,candidate,party,votes,state_election_id
Bennington,Attorney General,,Searsburg,,Rosemarie Jackowski,Liberty Union,12,82056
Bennington,Attorney General,,Shaftsbury,,Rosemarie Jackowski,Liberty Union,212,82056
Windsor,Attorney General,,Sharon,,Rosemarie Jackowski,Liberty Union,25,82056
Caledonia,Attorney General,,Sheffield,,Rosemarie Jackowski,Liberty Union,13,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-1,Rosemarie Jackowski,Liberty Union,41,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-2,Rosemarie Jackowski,Liberty Union,39,82056
Franklin,Attorney General,,Sheldon,,Rosemarie Jackowski,Liberty Union,20,82056
Addison,Attorney General,,Shoreham,,Rosemarie Jackowski,Liberty Union,15,82056
Rutland,Attorney General,,Shrewsbury,,Rosemarie Jackowski,Liberty Union,19,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-1,Rosemarie Jackowski,Liberty Union,51,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-2,Rosemarie Jackowski,Liberty Union,31,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-3,Rosemarie Jackowski,Liberty Union,64,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-4,Rosemarie Jackowski,Liberty Union,53,82056
Grand Isle,Attorney General,,South Hero,,Rosemarie Jackowski,Liberty Union,18,82056
Windsor,Attorney General,,Springfield,Windsor 3-1,Rosemarie Jackowski,Liberty Union,8,82056
Windsor,Attorney General,,Springfield,Windsor 3-2,Rosemarie Jackowski,Liberty Union,194,82056
Franklin,Attorney General,,Saint Albans City,,Rosemarie Jackowski,Liberty Union,73,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-1,Rosemarie Jackowski,Liberty Union,19,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-2,Rosemarie Jackowski,Liberty Union,56,82056
Chittenden,Attorney General,,Saint George,,Rosemarie Jackowski,Liberty Union,9,82056
Caledonia,Attorney General,,Saint Johnsbury,,Rosemarie Jackowski,Liberty Union,95,82056
Bennington,Attorney General,,Stamford,,Rosemarie Jackowski,Liberty Union,44,82056
Caledonia,Attorney General,,Stannard,,Rosemarie Jackowski,Liberty Union,4,82056
Addison,Attorney General,,Starksboro,,Rosemarie Jackowski,Liberty Union,28,82056
Windsor,Attorney General,,Stockbridge,,Rosemarie Jackowski,Liberty Union,16,82056
Lamoille,Attorney General,,Stowe,,Rosemarie Jackowski,Liberty Union,72,82056
Orange,Attorney General,,Strafford,,Rosemarie Jackowski,Liberty Union,20,82056
Windham,Attorney General,,Stratton,,Rosemarie Jackowski,Liberty Union,8,82056
Rutland,Attorney General,,Sudbury,,Rosemarie Jackowski,Liberty Union,10,82056
Bennington,Attorney General,,Sunderland,Bennington 3,Rosemarie Jackowski,Liberty Union,6,82056
Bennington,Attorney General,,Sunderland,Bennington 4,Rosemarie Jackowski,Liberty Union,32,82056
Caledonia,Attorney General,,Sutton,,Rosemarie Jackowski,Liberty Union,10,82056
Franklin,Attorney General,,Swanton,,Rosemarie Jackowski,Liberty Union,60,82056
Orange,Attorney General,,Thetford,,Rosemarie Jackowski,Liberty Union,65,82056
Rutland,Attorney General,,Tinmouth,Rutland 2,Rosemarie Jackowski,Liberty Union,3,82056
Rutland,Attorney General,,Tinmouth,Rutland-Bennington,Rosemarie Jackowski,Liberty Union,10,82056
Orange,Attorney General,,Topsham,,Rosemarie Jackowski,Liberty Union,19,82056
Windham,Attorney General,,Townshend,,Rosemarie Jackowski,Liberty Union,40,82056
Orleans,Attorney General,,Troy,Orleans 2,Rosemarie Jackowski,Liberty Union,6,82056
Orleans,Attorney General,,Troy,Orleans-Lamoille,Rosemarie Jackowski,Liberty Union,17,82056
Orange,Attorney General,,Tunbridge,,Rosemarie Jackowski,Liberty Union,31,82056
Chittenden,Attorney General,,Underhill,,Rosemarie Jackowski,Liberty Union,35,82056
Addison,Attorney General,,Vergennes,,Rosemarie Jackowski,Liberty Union,35,82056
Windham,Attorney General,,Vernon,,Rosemarie Jackowski,Liberty Union,56,82056
Orange,Attorney General,,Vershire,,Rosemarie Jackowski,Liberty Union,17,82056
Essex,Attorney General,,Victory,,Rosemarie Jackowski,Liberty Union,2,82056
Washington,Attorney General,,Waitsfield,,Rosemarie Jackowski,Liberty Union,40,82056
Caledonia,Attorney General,,Walden,,Rosemarie Jackowski,Liberty Union,13,82056
Rutland,Attorney General,,Wallingford,,Rosemarie Jackowski,Liberty Union,44,82056
Addison,Attorney General,,Waltham,,Rosemarie Jackowski,Liberty Union,5,82056
Windham,Attorney General,,Wardsboro,,Rosemarie Jackowski,Liberty Union,30,82056
Washington,Attorney General,,Warren,,Rosemarie Jackowski,Liberty Union,47,82056
Orange,Attorney General,,Washington,,Rosemarie Jackowski,Liberty Union,19,82056
Washington,Attorney General,,Waterbury,,Rosemarie Jackowski,Liberty Union,63,82056
Caledonia,Attorney General,,Waterford,,Rosemarie Jackowski,Liberty Union,14,82056
Lamoille,Attorney General,,Waterville,,Rosemarie Jackowski,Liberty Union,10,82056
Windsor,Attorney General,,Weathersfield,,Rosemarie Jackowski,Liberty Union,77,82056
Rutland,Attorney General,,Wells,,Rosemarie Jackowski,Liberty Union,36,82056
Orange,Attorney General,,West Fairlee,,Rosemarie Jackowski,Liberty Union,24,82056
Rutland,Attorney General,,West Haven,,Rosemarie Jackowski,Liberty Union,4,82056
Rutland,Attorney General,,West Rutland,,Rosemarie Jackowski,Liberty Union,56,82056
Windsor,Attorney General,,West Windsor,,Rosemarie Jackowski,Liberty Union,21,82056
Orleans,Attorney General,,Westfield,,Rosemarie Jackowski,Liberty Union,13,82056
Chittenden,Attorney General,,Westford,,Rosemarie Jackowski,Liberty Union,30,82056
Windham,Attorney General,,Westminster,Windham 3,Rosemarie Jackowski,Liberty Union,3,82056
Windham,Attorney General,,Westminster,Windham 4,Rosemarie Jackowski,Liberty Union,86,82056
Orleans,Attorney General,,Westmore,,Rosemarie Jackowski,Liberty Union,6,82056
Windsor,Attorney General,,Weston,,Rosemarie Jackowski,Liberty Union,17,82056
Addison,Attorney General,,Weybridge,,Rosemarie Jackowski,Liberty Union,10,82056
Caledonia,Attorney General,,Wheelock,,Rosemarie Jackowski,Liberty Union,14,82056
Addison,Attorney General,,Whiting,,Rosemarie Jackowski,Liberty Union,7,82056
Windham,Attorney General,,Whitingham,Windham 6,Rosemarie Jackowski,Liberty Union,50,82056
Windham,Attorney General,,Whitingham,Windham-Bennington,Rosemarie Jackowski,Liberty Union,0,82056
Orange,Attorney General,,Williamstown,,Rosemarie Jackowski,Liberty Union,41,82056
Chittenden,Attorney General,,Williston,,Rosemarie Jackowski,Liberty Union,96,82056
Windham,Attorney General,,Wilmington,,Rosemarie Jackowski,Liberty Union,84,82056
Windham,Attorney General,,Windham,,Rosemarie Jackowski,Liberty Union,16,82056
Windsor,Attorney General,,Windsor,,Rosemarie Jackowski,Liberty Union,75,82056
Bennington,Attorney General,,Winhall,,Rosemarie Jackowski,Liberty Union,24,82056
Chittenden,Attorney General,,Winooski,,Rosemarie Jackowski,Liberty Union,122,82056
Lamoille,Attorney General,,Wolcott,,Rosemarie Jackowski,Liberty Union,25,82056
Washington,Attorney General,,Woodbury,,Rosemarie Jackowski,Liberty Union,18,82056
Bennington,Attorney General,,Woodford,,Rosemarie Jackowski,Liberty Union,22,82056
Windsor,Attorney General,,Woodstock,,Rosemarie Jackowski,Liberty Union,46,82056
Washington,Attorney General,,Worcester,,Rosemarie Jackowski,Liberty Union,26,82056
Addison,Attorney General,,Addison,,Write-ins,,0,82056
Orleans,Attorney General,,Albany,,Write-ins,,0,82056
Grand Isle,Attorney General,,Alburgh,,Write-ins,,0,82056
Windsor,Attorney General,,Andover,,Write-ins,,0,82056
Bennington,Attorney General,,Arlington,,Write-ins,,0,82056
Windham,Attorney General,,Athens,,Write-ins,,0,82056
Franklin,Attorney General,,Bakersfield,,Write-ins,,0,82056
Windsor,Attorney General,,Baltimore,,Write-ins,,0,82056
Windsor,Attorney General,,Barnard,,Write-ins,,1,82056
Caledonia,Attorney General,,Barnet,,Write-ins,,1,82056
Washington,Attorney General,,Barre City,,Write-ins,,3,82056
Washington,Attorney General,,Barre Town,,Write-ins,,2,82056
Orleans,Attorney General,,Barton,,Write-ins,,0,82056
Lamoille,Attorney General,,Belvidere,,Write-ins,,0,82056
Bennington,Attorney General,,Bennington,Bennington 2-1,Write-ins,,2,82056
Bennington,Attorney General,,Bennington,Bennington 2-2,Write-ins,,0,82056
Rutland,Attorney General,,Benson,,Write-ins,,1,82056
Franklin,Attorney General,,Berkshire,,Write-ins,,0,82056
Washington,Attorney General,,Berlin,,Write-ins,,1,82056
Windsor,Attorney General,,Bethel,,Write-ins,,0,82056
Essex,Attorney General,,Bloomfield,,Write-ins,,0,82056
Chittenden,Attorney General,,Bolton,,Write-ins,,0,82056
Orange,Attorney General,,Bradford,,Write-ins,,3,82056
Orange,Attorney General,,Braintree,,Write-ins,,0,82056
Rutland,Attorney General,,Brandon,,Write-ins,,0,82056
Windham,Attorney General,,Brattleboro,Windham 2-1,Write-ins,,1,82056
Windham,Attorney General,,Brattleboro,Windham 2-2,Write-ins,,0,82056
Windham,Attorney General,,Brattleboro,Windham 2-3,Write-ins,,0,82056
Windsor,Attorney General,,Bridgewater,,Write-ins,,0,82056
Addison,Attorney General,,Bridport,,Write-ins,,1,82056
Essex,Attorney General,,Brighton,,Write-ins,,0,82056
Addison,Attorney General,,Bristol,,Write-ins,,0,82056
Orange,Attorney General,,Brookfield,,Write-ins,,0,82056
Windham,Attorney General,,Brookline,,Write-ins,,0,82056
Orleans,Attorney General,,Brownington,,Write-ins,,0,82056
Essex,Attorney General,,Brunswick,,Write-ins,,0,82056
Caledonia,Attorney General,,Burke,,Write-ins,,0,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-1,Write-ins,,6,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-2,Write-ins,,5,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-3,Write-ins,,8,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-4,Write-ins,,1,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-5,Write-ins,,10,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-6,Write-ins,,3,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-7,Write-ins,,1,82056
Washington,Attorney General,,Cabot,,Write-ins,,0,82056
Washington,Attorney General,,Calais,,Write-ins,,0,82056
Lamoille,Attorney General,,Cambridge,,Write-ins,,2,82056
Essex,Attorney General,,Canaan,,Write-ins,,0,82056
Rutland,Attorney General,,Castleton,,Write-ins,,1,82056
Windsor,Attorney General,,Cavendish,,Write-ins,,0,82056
Orleans,Attorney General,,Charleston,,Write-ins,,0,82056
Chittenden,Attorney General,,Charlotte,,Write-ins,,3,82056
Orange,Attorney General,,Chelsea,,Write-ins,,0,82056
Windsor,Attorney General,,Chester,,Write-ins,,1,82056
Rutland,Attorney General,,Chittenden,,Write-ins,,1,82056
Rutland,Attorney General,,Clarendon,,Write-ins,,1,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-1,Write-ins,,3,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-2,Write-ins,,2,82056
Essex,Attorney General,,Concord,,Write-ins,,0,82056
Orange,Attorney General,,Corinth,,Write-ins,,0,82056
Addison,Attorney General,,Cornwall,,Write-ins,,0,82056
Orleans,Attorney General,,Coventry,,Write-ins,,1,82056
Orleans,Attorney General,,Craftsbury,,Write-ins,,0,82056
Rutland,Attorney General,,Danby,,Write-ins,,0,82056
Caledonia,Attorney General,,Danville,,Write-ins,,1,82056
Orleans,Attorney General,,Derby,,Write-ins,,0,82056
Bennington,Attorney General,,Dorset,,Write-ins,,0,82056
Windham,Attorney General,,Dover,,Write-ins,,0,82056
Windham,Attorney General,,Dummerston,,Write-ins,,1,82056
Washington,Attorney General,,Duxbury,,Write-ins,,0,82056
Essex,Attorney General,,East Haven,,Write-ins,,0,82056
Washington,Attorney General,,East Montpelier,,Write-ins,,1,82056
Lamoille,Attorney General,,Eden,,Write-ins,,0,82056
Lamoille,Attorney General,,Elmore,,Write-ins,,0,82056
Franklin,Attorney General,,Enosburgh,,Write-ins,,0,82056
Chittenden,Attorney General,,Essex,Chittenden 8-1,Write-ins,,6,82056
Chittenden,Attorney General,,Essex,Chittenden 8-2,Write-ins,,4,82056
Chittenden,Attorney General,,Essex,Chittenden 8-3,Write-ins,,1,82056
Rutland,Attorney General,,Fair Haven,,Write-ins,,0,82056
Franklin,Attorney General,,Fairfax,,Write-ins,,1,82056
Franklin,Attorney General,,Fairfield,,Write-ins,,0,82056
Orange,Attorney General,,Fairlee,,Write-ins,,0,82056
Washington,Attorney General,,Fayston,,Write-ins,,0,82056
Addison,Attorney General,,Ferrisburgh,,Write-ins,,1,82056
Franklin,Attorney General,,Fletcher,,Write-ins,,0,82056
Franklin,Attorney General,,Franklin,,Write-ins,,0,82056
Franklin,Attorney General,,Georgia,,Write-ins,,2,82056
Orleans,Attorney General,,Glover,,Write-ins,,0,82056
Addison,Attorney General,,Goshen,,Write-ins,,0,82056
Windham,Attorney General,,Grafton,,Write-ins,,0,82056
Essex,Attorney General,,Granby,,Write-ins,,0,82056
Grand Isle,Attorney General,,Grand Isle,,Write-ins,,1,82056
Addison,Attorney General,,Granville,,Write-ins,,0,82056
Orleans,Attorney General,,Greensboro,,Write-ins,,0,82056
Caledonia,Attorney General,,Groton,,Write-ins,,0,82056
Essex,Attorney General,,Guildhall,,Write-ins,,1,82056
Windham,Attorney General,,Guilford,,Write-ins,,1,82056
Windham,Attorney General,,Halifax,,Write-ins,,0,82056
Addison,Attorney General,,Hancock,,Write-ins,,0,82056
Caledonia,Attorney General,,Hardwick,,Write-ins,,1,82056
Windsor,Attorney General,,Hartford,Windsor 4-1,Write-ins,,1,82056
Windsor,Attorney General,,Hartford,Windsor 4-2,Write-ins,,5,82056
Windsor,Attorney General,,Hartland,,Write-ins,,0,82056
Franklin,Attorney General,,Highgate,,Write-ins,,0,82056
Chittenden,Attorney General,,Hinesburg,Chittenden 4-1,Write-ins,,0,82056
Chittenden,Attorney General,,Hinesburg,Chittenden 4-2,Write-ins,,1,82056
Orleans,Attorney General,,Holland,,Write-ins,,0,82056
Rutland,Attorney General,,Hubbardton,,Write-ins,,0,82056
Chittenden,Attorney General,,Huntington,,Write-ins,,0,82056
Lamoille,Attorney General,,Hyde Park,,Write-ins,,0,82056
Rutland,Attorney General,,Ira,,Write-ins,,0,82056
Orleans,Attorney General,,Irasburg,,Write-ins,,0,82056
Grand Isle,Attorney General,,Isle La Motte,,Write-ins,,0,82056
Windham,Attorney General,,Jamaica,,Write-ins,,0,82056
Orleans,Attorney General,,Jay,,Write-ins,,0,82056
Chittenden,Attorney General,,Jericho,,Write-ins,,0,82056
Lamoille,Attorney General,,Johnson,,Write-ins,,2,82056
Rutland,Attorney General,,Killington,,Write-ins,,0,82056
Caledonia,Attorney General,,Kirby,,Write-ins,,0,82056
Bennington,Attorney General,,Landgrove,,Write-ins,,0,82056
Addison,Attorney General,,Leicester,,Write-ins,,0,82056
Essex,Attorney General,,Lemington,,Write-ins,,0,82056
Addison,Attorney General,,Lincoln,,Write-ins,,0,82056
Windham,Attorney General,,Londonderry,,Write-ins,,1,82056
Orleans,Attorney General,,Lowell,,Write-ins,,0,82056
Windsor,Attorney General,,Ludlow,,Write-ins,,0,82056
Essex,Attorney General,,Lunenburg,,Write-ins,,0,82056
Caledonia,Attorney General,,Lyndon,,Write-ins,,2,82056
Essex,Attorney General,,Maidstone,,Write-ins,,0,82056
Bennington,Attorney General,,Manchester,,Write-ins,,1,82056
Windham,Attorney General,,Marlboro,,Write-ins,,0,82056
Washington,Attorney General,,Marshfield,,Write-ins,,1,82056
Rutland,Attorney General,,Mendon,,Write-ins,,1,82056
Addison,Attorney General,,Middlebury,,Write-ins,,1,82056
Washington,Attorney General,,Middlesex,,Write-ins,,3,82056
Rutland,Attorney General,,Middletown Springs,,Write-ins,,0,82056
Chittenden,Attorney General,,Milton,Chittenden 10,Write-ins,,3,82056
Chittenden,Attorney General,,Milton,Grand Isle-Chittenden,Write-ins,,1,82056
Addison,Attorney General,,Monkton,,Write-ins,,0,82056
Franklin,Attorney General,,Montgomery,,Write-ins,,0,82056
Washington,Attorney General,,Montpelier,,Write-ins,,5,82056
Washington,Attorney General,,Moretown,,Write-ins,,0,82056
Orleans,Attorney General,,Morgan,,Write-ins,,0,82056
Lamoille,Attorney General,,Morristown,,Write-ins,,1,82056
Rutland,Attorney General,,Mount Holly,,Write-ins,,0,82056
Rutland,Attorney General,,Mount Tabor,,Write-ins,,0,82056
Addison,Attorney General,,New Haven,,Write-ins,,0,82056
Caledonia,Attorney General,,Newark,,Write-ins,,0,82056
Orange,Attorney General,,Newbury,,Write-ins,,0,82056
Windham,Attorney General,,Newfane,,Write-ins,,3,82056
Orleans,Attorney General,,Newport City,,Write-ins,,2,82056
Orleans,Attorney General,,Newport Town,,Write-ins,,0,82056
Grand Isle,Attorney General,,North Hero,,Write-ins,,0,82056
Washington,Attorney General,,Northfield,,Write-ins,,0,82056
Essex,Attorney General,,Norton,,Write-ins,,0,82056
Windsor,Attorney General,,Norwich,,Write-ins,,2,82056
Orange,Attorney General,,Orange,,Write-ins,,0,82056
Addison,Attorney General,,Orwell,,Write-ins,,0,82056
Addison,Attorney General,,Panton,,Write-ins,,0,82056
Rutland,Attorney General,,Pawlet,,Write-ins,,0,82056
Caledonia,Attorney General,,Peacham,,Write-ins,,1,82056
Bennington,Attorney General,,Peru,,Write-ins,,0,82056
Rutland,Attorney General,,Pittsfield,,Write-ins,,0,82056
Rutland,Attorney General,,Pittsford,,Write-ins,,1,82056
Washington,Attorney General,,Plainfield,,Write-ins,,0,82056
Windsor,Attorney General,,Plymouth,,Write-ins,,0,82056
Windsor,Attorney General,,Pomfret,,Write-ins,,0,82056
Rutland,Attorney General,,Poultney,,Write-ins,,1,82056
Bennington,Attorney General,,Pownal,,Write-ins,,0,82056
Rutland,Attorney General,,Proctor,,Write-ins,,0,82056
Windham,Attorney General,,Putney,,Write-ins,,2,82056
Orange,Attorney General,,Randolph,,Write-ins,,1,82056
Windsor,Attorney General,,Reading,,Write-ins,,0,82056
Bennington,Attorney General,,Readsboro,,Write-ins,,1,82056
Franklin,Attorney General,,Richford,,Write-ins,,0,82056
Chittenden,Attorney General,,Richmond,,Write-ins,,2,82056
Addison,Attorney General,,Ripton,,Write-ins,,1,82056
Windsor,Attorney General,,Rochester,,Write-ins,,0,82056
Windham,Attorney General,,Rockingham,,Write-ins,,1,82056
Washington,Attorney General,,Roxbury,,Write-ins,,0,82056
Windsor,Attorney General,,Royalton,,Write-ins,,0,82056
Bennington,Attorney General,,Rupert,,Write-ins,,0,82056
Rutland,Attorney General,,Rutland City,Rutland 5-1,Write-ins,,1,82056
Rutland,Attorney General,,Rutland City,Rutland 5-2,Write-ins,,2,82056
Rutland,Attorney General,,Rutland City,Rutland 5-3,Write-ins,,5,82056
Rutland,Attorney General,,Rutland City,Rutland 5-4,Write-ins,,2,82056
Rutland,Attorney General,,Rutland Town,,Write-ins,,3,82056
Caledonia,Attorney General,,Ryegate,,Write-ins,,0,82056
Addison,Attorney General,,Salisbury,,Write-ins,,0,82056
Bennington,Attorney General,,Sandgate,,Write-ins,,0,82056
Bennington,Attorney General,,Searsburg,,Write-ins,,0,82056
Bennington,Attorney General,,Shaftsbury,,Write-ins,,0,82056
Windsor,Attorney General,,Sharon,,Write-ins,,3,82056
Caledonia,Attorney General,,Sheffield,,Write-ins,,1,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-1,Write-ins,,0,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-2,Write-ins,,1,82056
Franklin,Attorney General,,Sheldon,,Write-ins,,0,82056
Addison,Attorney General,,Shoreham,,Write-ins,,2,82056
Rutland,Attorney General,,Shrewsbury,,Write-ins,,1,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-1,Write-ins,,0,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-2,Write-ins,,2,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-3,Write-ins,,1,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-4,Write-ins,,0,82056
Grand Isle,Attorney General,,South Hero,,Write-ins,,0,82056
Windsor,Attorney General,,Springfield,Windsor 3-1,Write-ins,,0,82056
Windsor,Attorney General,,Springfield,Windsor 3-2,Write-ins,,3,82056
Franklin,Attorney General,,Saint Albans City,,Write-ins,,1,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-1,Write-ins,,2,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-2,Write-ins,,4,82056
Chittenden,Attorney General,,Saint George,,Write-ins,,2,82056
Caledonia,Attorney General,,Saint Johnsbury,,Write-ins,,1,82056
Bennington,Attorney General,,Stamford,,Write-ins,,0,82056
Caledonia,Attorney General,,Stannard,,Write-ins,,0,82056
Addison,Attorney General,,Starksboro,,Write-ins,,0,82056
Windsor,Attorney General,,Stockbridge,,Write-ins,,0,82056
Lamoille,Attorney General,,Stowe,,Write-ins,,2,82056
Orange,Attorney General,,Strafford,,Write-ins,,6,82056
Windham,Attorney General,,Stratton,,Write-ins,,0,82056
Rutland,Attorney General,,Sudbury,,Write-ins,,0,82056
Bennington,Attorney General,,Sunderland,Bennington 3,Write-ins,,0,82056
Bennington,Attorney General,,Sunderland,Bennington 4,Write-ins,,1,82056
Caledonia,Attorney General,,Sutton,,Write-ins,,1,82056
Franklin,Attorney General,,Swanton,,Write-ins,,1,82056
Orange,Attorney General,,Thetford,,Write-ins,,2,82056
Rutland,Attorney General,,Tinmouth,Rutland 2,Write-ins,,0,82056
Rutland,Attorney General,,Tinmouth,Rutland-Bennington,Write-ins,,1,82056
Orange,Attorney General,,Topsham,,Write-ins,,1,82056
Windham,Attorney General,,Townshend,,Write-ins,,0,82056
Orleans,Attorney General,,Troy,Orleans 2,Write-ins,,0,82056
Orleans,Attorney General,,Troy,Orleans-Lamoille,Write-ins,,0,82056
Orange,Attorney General,,Tunbridge,,Write-ins,,0,82056
Chittenden,Attorney General,,Underhill,,Write-ins,,1,82056
Addison,Attorney General,,Vergennes,,Write-ins,,0,82056
Windham,Attorney General,,Vernon,,Write-ins,,2,82056
Orange,Attorney General,,Vershire,,Write-ins,,0,82056
Essex,Attorney General,,Victory,,Write-ins,,0,82056
Washington,Attorney General,,Waitsfield,,Write-ins,,0,82056
Caledonia,Attorney General,,Walden,,Write-ins,,0,82056
Rutland,Attorney General,,Wallingford,,Write-ins,,0,82056
Addison,Attorney General,,Waltham,,Write-ins,,0,82056
Windham,Attorney General,,Wardsboro,,Write-ins,,0,82056
Washington,Attorney General,,Warren,,Write-ins,,0,82056
Orange,Attorney General,,Washington,,Write-ins,,0,82056
Washington,Attorney General,,Waterbury,,Write-ins,,1,82056
Caledonia,Attorney General,,Waterford,,Write-ins,,1,82056
Lamoille,Attorney General,,Waterville,,Write-ins,,0,82056
Windsor,Attorney General,,Weathersfield,,Write-ins,,1,82056
Rutland,Attorney General,,Wells,,Write-ins,,0,82056
Orange,Attorney General,,West Fairlee,,Write-ins,,0,82056
Rutland,Attorney General,,West Haven,,Write-ins,,0,82056
Rutland,Attorney General,,West Rutland,,Write-ins,,1,82056
Windsor,Attorney General,,West Windsor,,Write-ins,,0,82056
Orleans,Attorney General,,Westfield,,Write-ins,,0,82056
Chittenden,Attorney General,,Westford,,Write-ins,,0,82056
Windham,Attorney General,,Westminster,Windham 3,Write-ins,,0,82056
Windham,Attorney General,,Westminster,Windham 4,Write-ins,,0,82056
Orleans,Attorney General,,Westmore,,Write-ins,,0,82056
Windsor,Attorney General,,Weston,,Write-ins,,0,82056
Addison,Attorney General,,Weybridge,,Write-ins,,1,82056
Caledonia,Attorney General,,Wheelock,,Write-ins,,1,82056
Addison,Attorney General,,Whiting,,Write-ins,,0,82056
Windham,Attorney General,,Whitingham,Windham 6,Write-ins,,0,82056
Windham,Attorney General,,Whitingham,Windham-Bennington,Write-ins,,0,82056
Orange,Attorney General,,Williamstown,,Write-ins,,1,82056
Chittenden,Attorney General,,Williston,,Write-ins,,2,82056
Windham,Attorney General,,Wilmington,,Write-ins,,0,82056
Windham,Attorney General,,Windham,,Write-ins,,0,82056
Windsor,Attorney General,,Windsor,,Write-ins,,0,82056
Bennington,Attorney General,,Winhall,,Write-ins,,0,82056
Chittenden,Attorney General,,Winooski,,Write-ins,,1,82056
Lamoille,Attorney General,,Wolcott,,Write-ins,,0,82056
Washington,Attorney General,,Woodbury,,Write-ins,,0,82056
Bennington,Attorney General,,Woodford,,Write-ins,,0,82056
Windsor,Attorney General,,Woodstock,,Write-ins,,3,82056
Washington,Attorney General,,Worcester,,Write-ins,,1,82056
Addison,Attorney General,,Addison,,Blanks,,31,82056
Orleans,Attorney General,,Albany,,Blanks,,20,82056
Grand Isle,Attorney General,,Alburgh,,Blanks,,38,82056
Windsor,Attorney General,,Andover,,Blanks,,21,82056
Bennington,Attorney General,,Arlington,,Blanks,,80,82056
Windham,Attorney General,,Athens,,Blanks,,12,82056
Franklin,Attorney General,,Bakersfield,,Blanks,,35,82056
Windsor,Attorney General,,Baltimore,,Blanks,,6,82056
Windsor,Attorney General,,Barnard,,Blanks,,63,82056
Caledonia,Attorney General,,Barnet,,Blanks,,47,82056
Washington,Attorney General,,Barre City,,Blanks,,145,82056
Washington,Attorney General,,Barre Town,,Blanks,,175,82056
Orleans,Attorney General,,Barton,,Blanks,,65,82056
Lamoille,Attorney General,,Belvidere,,Blanks,,7,82056
Bennington,Attorney General,,Bennington,Bennington 2-1,Blanks,,242,82056
Bennington,Attorney General,,Bennington,Bennington 2-2,Blanks,,247,82056
Rutland,Attorney General,,Benson,,Blanks,,30,82056
Franklin,Attorney General,,Berkshire,,Blanks,,21,82056
Washington,Attorney General,,Berlin,,Blanks,,67,82056
Windsor,Attorney General,,Bethel,,Blanks,,66,82056
Essex,Attorney General,,Bloomfield,,Blanks,,8,82056
Chittenden,Attorney General,,Bolton,,Blanks,,28,82056
Orange,Attorney General,,Bradford,,Blanks,,71,82056
Orange,Attorney General,,Braintree,,Blanks,,32,82056
Rutland,Attorney General,,Brandon,,Blanks,,100,82056
Windham,Attorney General,,Brattleboro,Windham 2-1,Blanks,,177,82056
Windham,Attorney General,,Brattleboro,Windham 2-2,Blanks,,163,82056
Windham,Attorney General,,Brattleboro,Windham 2-3,Blanks,,171,82056
Windsor,Attorney General,,Bridgewater,,Blanks,,41,82056
Addison,Attorney General,,Bridport,,Blanks,,43,82056
Essex,Attorney General,,Brighton,,Blanks,,37,82056
Addison,Attorney General,,Bristol,,Blanks,,84,82056
Orange,Attorney General,,Brookfield,,Blanks,,25,82056
Windham,Attorney General,,Brookline,,Blanks,,27,82056
Orleans,Attorney General,,Brownington,,Blanks,,32,82056
Essex,Attorney General,,Brunswick,,Blanks,,4,82056
Caledonia,Attorney General,,Burke,,Blanks,,36,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-1,Blanks,,228,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-2,Blanks,,161,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-3,Blanks,,362,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-4,Blanks,,288,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-5,Blanks,,337,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-6,Blanks,,128,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-7,Blanks,,9,82056
Washington,Attorney General,,Cabot,,Blanks,,57,82056
Washington,Attorney General,,Calais,,Blanks,,57,82056
Lamoille,Attorney General,,Cambridge,,Blanks,,89,82056
